country,population,averageAge,birthRate,mortality,migration,undernourish,cornProduction,cornExports,cornImports,cornLand,wheatProduction,wheatExports,wheatImports,wheatLand,riceProduction,riceExports,riceImports,riceLand,soyProduction,soyExports,soyImports,soyLand,otherProduction,otherExports,otherImports,otherLand,landArea,arableOpen,organic,conventional,gmo
String,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Afghanistan,31280518,18,38,14,-1,25,300000,0,0,1400,5169235,0,220428,24323.07,500000,0,170000,2100,0,0,0,0,40422482.63,4997876.579,4921097.307,134556.2153,652860,12530,0.000002,0.999998,0
Albania,3185413,31,12,6,-3,5,300000,0,75000,540,280000,87,305944,714.4,0,106,14046,0,600,0,37,3.24,1696498.521,209756.7905,206534.4273,5647.214254,27400,5507,0.0004,0.9996,0
Algeria,39928947,27,23,4,0,5,1000,0,3800000,10,3299049,25000,7454603,18394.02,0,62,150000,0,0,0,81,0,147467824.3,18233070.74,17952967.41,490883.0685,2381740,75501,0.00002,0.99998,0
Andorra,80153,42,8,6,0,3,42.59082823,0,7289.795117,0.054955907,0,0,0,0,0,4,467,0,0,0,0,0,29100.52207,3598.01794,3542.743826,96.8682737,470,10,0,1,0
Angola,22137261,17,38,11,0,24,1100000,0,25000,16000,3958,0,0,34.9,16000,0,450000,280,0,0,132,146.25,77190682.69,9543933.97,9397316.443,256948.2486,1246700,33038,0.00004,0.99996,0
Antigua and Barbuda,90903,31,15,5,2,13.9,40.31567715,0,40,0.45,0,0,0,0,0,0,1798,0,0,0,9,0,27243.04194,3368.35722,3316.611242,90.6851924,440,81,0,1,0
Argentina,41803125,31,16,7,0,5,23500000,14500000,10000,30000,9188339,8411136,9,35586.06,975000,600000,5000,2390,48878768,10820035,13019,187648.5,169444910.1,20950339.82,20628492.77,564039.2254,2736690,274490,0.0259,0.351788998,0.622311002
Armenia,23630169,33,13,9,-5,5,2711.980088,0,50000,31.15,311558,22,356548,903.03,0,0,10620,0,0,0,6,0,1762748.645,217948.0229,214599.8228,5867.744154,28470,4775,0.0005,0.9995,0
Australia,23983990,38,12,7,5,5,400000,75000,0,650,22855576,17657181,1133,131333.33,504000,466446,160260,700,29750,10233,9119,173.61,475657320.6,58810751.53,57907278.51,1583342.849,7682300,468503,0.0293,0.960300233,0.010399767
