ID,POLICY,TAG,DESCRIPTION ,LIKELYHOOD,PRO,CON,GMO,ORGANIC,CONVENTIONAL,CORN,SOY,RICE,WHEAT,OTHER,LEVEL
INT,STRING,STRING,STRING,DOUBLE,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
1,Event 1,1,Something bad happened,0.7,N/A,N/A,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1
2,Event 2,2,Something bad happened,0.7,N/A,N/A,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1
3,Event 3,3,Something bad happened,0.7,N/A,N/A,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1
4,Event 4,4,Something bad happened,0.7,N/A,N/A,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1
5,Event 5,5,Something bad happened,0.7,N/A,N/A,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1
6,Event 6,6,Something bad happened,0.7,N/A,N/A,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1
7,Event 7,7,Something bad happened,0.7,N/A,N/A,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1
8,Event 8,8,Something bad happened,0.7,N/A,N/A,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1
9,Event 9,9,Something good happened,0.7,N/A,N/A,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1
10,Event 10,10,Something good happened,0.7,N/A,N/A,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1
11,Event 11,11,Something good happened,0.7,N/A,N/A,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1
12,Event 12,12,Something good happened,0.7,N/A,N/A,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
13,Event 13,13,Something good happened,0.7,N/A,N/A,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1
14,Event 14,14,Something good happened,0.7,N/A,N/A,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1
15,Event 15,15,Something good happened,0.7,N/A,N/A,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1
16,Event 16,16,Something good happened,0.7,N/A,N/A,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1
