ID,POLICY,TAG,DESCRIPTION ,LIKELYHOOD,PRO,CON,GMO,ORGANIC,CONVENTIONAL,CORN,SOY,RICE,WHEAT,OTHER,LEVEL
INT,STRING,STRING,STRING,DOUBLE,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
1,Increase GMO,PRO,Increasing the GMO's will decrease the conventional farming by a direct relationship. ,0.7,GMO,CONVENTIONAL,1.05,1,0.95,0.95,0.95,0.95,0.95,0.95,1
2,Increase Organic,PRO,Increasing the Organic will decrease the GMO's and conventional farming by a direct relationship. ,0.7,ORGANIC,EVERYTHING,0.95,1.05,0.95,0.95,0.95,0.95,0.95,0.95,1
3,Increase Conventional,PRO,Increasing the conventional will decrease the GMOs and Organic farming by a direct relationship,0.7,CONVENTIONAL,GMO,0.95,1,1.05,0.95,0.95,0.95,0.95,0.95,1
4,Decrease GMO,CON,Decreasing the GMO's will Increase the conventional farming by a direct relationship. ,0.7,GMO,CONVENTIONAL,0.95,1,1,0.95,0.95,0.95,0.95,0.95,1
5,Decrease Organic,CON,Decreasing the Organic will Increase the GMO's and conventional farming by a direct relationship. ,0.7,ORGANIC,EVERYTHING,1,0.95,1,0.95,0.95,0.95,0.95,0.95,1
6,Decrease Conventional,CON,Decreasing the conventional will Increase the GMOs and Organic farming by a direct relationship,0.7,CONVENTIONAL,GMO,1,1,0.95,0.95,0.95,0.95,0.95,0.95,1
7,Increase Corn ,PRO,Increasing this crop will decrease all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,1.05,1,1,1,1,1
8,Decrease Corn,CON,Decreasing this crop will increase all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,0.05,1,1,1,1,1
9,Increase Soy,PRO,Increasing this crop will decrease all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,1,1.05,1,1,1,1
10,Decrease Soy,CON,Decreasing this crop will increase all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,1,0.95,1,1,1,1
11,Increase Wheat,PRO,Increasing this crop will decrease all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,1,1,1,1.05,1,1
12,Decrease Wheat,CON,Decreasing this crop will increase all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,1,1,1,0.95,1,1
13,Increase Rice,PRO,Increasing this crop will decrease all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,1,1,1.05,1,1,1
14,Decrease Rice,CON,Decreasing this crop will increase all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,1,1,0.95,1,1,1
15,Increase Other,PRO,Increasing this crop will decrease all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,1,1,1,1,1.05,1
16,Decrease Other,CON,Decreasing this crop will increase all other crops by a direct relationship. ,0.7,N/A,N/A,1,1,1,1,1,1,1,0.95,1
